WEB ID,Orig ID,Logo,Název shopu,Aktuální štítek,Doba štítku,Nejvyšší dosažený štítek,Očekávaná provize,Reálná provize,Bilance za 30 dnů,Celková bilance,Platící obchod,Importováno produktů,"Google
CSS","Google
CPP","Bing
CSS",Hodnocení,Počet hodnocení,CPC,"Hledanost
s koncovkou","Hledanost
bez koncovky",Návštevnost,Pozice v zemi,Kategorie,Manuální štítky
EFR,710,,Bio-cheminee.fr,No conversion,3.5 měs. (104 dnů),Minimum clicks,7.00 %,nespočtena,-1 EUR,-5 EUR,Ano,902,,,,4.60,42,1.04 USD,40,260,15 791,63 233,Home and Garden Home Appliances Furniture and...,-
EFR,659,,Vilebrequin.fr,No conversion,3.8 měs. (115 dnů),Minimum clicks,-,nespočtena,0 EUR,-1 EUR,Ano,3 708,,,,4.60,12,0.67 USD,10,27 100,130 796,135 203,Clothing Children's Fashion Fashion,-
EFR,564,,Livingandcompany.com,No conversion,4.1 měs. (124 dnů),Performer,8.00 %,nespočtena,-2 EUR,25 EUR,Ano,5 697,,,,-,-,-,0,70,26 667,142 528,Furniture and... Home and Garden,-
EFR,699,,Jako.com,No conversion,4.3 měs. (129 dnů),Minimum clicks,8.00 %,nespočtena,0 EUR,-1 EUR,Ano,22 729,,,,-,-,0.12 USD,10,4 400,283 913,8 229,Sport Clothing Footwear,-
EFR,698,,Naveetech.fr,Minimum clicks,4.3 měs. (130 dnů),Minimum clicks,5.00 %,nespočtena,0 EUR,0 EUR,Ano,15,,,,-,-,-,-,50,8 033,102 241,Sport Electronics Auto and Moto,-
EFR,693,,Eufy.fr,No conversion,4.3 měs. (130 dnů),Minimum clicks,2.00 %,nespočtena,-3 EUR,-4 EUR,Ano,317,,,,-,-,0.65 USD,70,9 900,3 222 227,6 804,Electronics Home Appliances Products for...,-
EFR,673,,Deluxehomeartshop.fr,Minimum clicks,4.4 měs. (133 dnů),Minimum clicks,17.00 %,nespočtena,0 EUR,0 EUR,Ano,662,,,,-,-,-,-,10,115,-,Home and Garden Furniture and... Electronics,CSS vypnuto_GMC
EFR,687,,Moyu-notebooks.com,Minimum clicks,4.7 měs. (140 dnů),Minimum clicks,15.00 %,nespočtena,0 EUR,0 EUR,Ano,74,,,,-,-,-,-,20,17 491,647 895,Books and Movies Computers & Office Products for...,-
EFR,679,,Hydrology.fr,Minimum clicks,4.7 měs. (142 dnů),Minimum clicks,-,nespočtena,0 EUR,0 EUR,Ano,39,,,,5.00,2,3.12 USD,10,880,4 785,112 333,Food and Beverages Dietary Supplements,-
EFR,677,,Magnifaik.com,Minimum clicks,4.7 měs. (142 dnů),Minimum clicks,-,nespočtena,0 EUR,0 EUR,Ano,355,,,,-,-,-,10,1 900,20 113,42 767,Cosmetics and health,-
EFR,682,,Lespetitscitrons.com,Minimum clicks,4.7 měs. (142 dnů),Minimum clicks,10.00 %,nespočtena,0 EUR,0 EUR,Ano,711,,,,-,-,-,-,20,4 003,133 657,Products for... Furniture and... Home and Garden,-
EFR,680,,Puissante.co,Minimum clicks,4.7 měs. (142 dnů),Minimum clicks,-,nespočtena,0 EUR,0 EUR,Ano,92,,,,-,-,1.16 USD,90,8 100,97 701,19 787,Sexshop Cosmetics and health,-
EFR,683,,Torro-fr.com,No conversion,4.7 měs. (142 dnů),Minimum clicks,10.00 %,nespočtena,-1 EUR,-1 EUR,Ano,390,,,,-,-,-,-,10,3 365,161 941,Fashion,-
EFR,676,,Narwal.fr,Minimum clicks,4.8 měs. (144 dnů),Minimum clicks,-,nespočtena,0 EUR,0 EUR,Ano,47,,,,-,-,1.54 USD,10,4 400,8 723,-,Electronics Home Appliances,-
EFR,620,,Nutrilifeshop.com,No conversion,4.9 měs. (148 dnů),Minimum clicks,5.00 %,nespočtena,-1 EUR,-25 EUR,Ano,49,,,,-,-,0.35 USD,10,140,18 249,79 279,Dietary Supplements Sport,Vyšší provize
EFR,666,,Hom.fr,No conversion,5.0 měs. (149 dnů),Minimum clicks,9.00 %,nespočtena,0 EUR,-2 EUR,Ano,4 329,,,,3.80,70,0.89 USD,20,8 100,72 980,32 391,Clothing,-
EFR,664,,Americantourister.fr,No conversion,5.0 měs. (150 dnů),Minimum clicks,-,nespočtena,-1 EUR,-1 EUR,Ano,672,,,,-,-,0.77 USD,10,8 100,32 570,23 841,Wide Range of...,-
EFR,630,,Outdoortoys.fr,No conversion,5.0 měs. (151 dnů),Minimum clicks,3.00 %,nespočtena,-2 EUR,-3 EUR,Ano,828,,,,-,-,-,-,1 600,22 891,31 334,Products for... Home and Garden,-
EFR,259,,Horsefeathers.eu,Minimum clicks,5.3 měs. (158 dnů),Minimum clicks,-,nespočtena,0 EUR,11 EUR,Ano,3 712,,,,-,-,-,0,320,45 101,46 453,Clothing Sport,-
EFR,565,,Maliterienaturelle.fr,No conversion,5.6 měs. (168 dnů),Performer,7.00 %,nespočtena,-2 EUR,-17 EUR,Ano,1 933,,,,-,-,-,-,10,3 501,211 493,Furniture and... Home and Garden,-
EFR,568,,Noracora.com,Minimum clicks,6.0 měs. (179 dnů),Starter,14.00 %,nespočtena,0 EUR,-33 EUR,Ano,15 705,,,,-,-,-,10,390,8 447,-,Clothing Footwear Children's Fashion,-
EFR,566,,Maxpeedingrods.com,No conversion,6.0 měs. (181 dnů),Starter,8.00 %,nespočtena,-1 EUR,0 EUR,Ano,430,,,,-,-,-,0,5 400,24 318,-,Auto and Moto,-
EFR,529,,Thebs.com,No conversion,6.2 měs. (185 dnů),Minimum clicks,8.00 %,nespočtena,0 EUR,-20 EUR,Ano,92 425,,,,-,-,0.76 USD,10,590,380 339,11 530,Fashion Clothing Children's Fashion,CSS vypnuto
EFR,351,,Animigo.fr,No conversion,6.4 měs. (192 dnů),Starter,10.00 %,nespočtena,-2 EUR,0 EUR,Ano,25,,,,-,-,2.06 USD,10,390,14 306,75 911,Pets,-
EFR,486,,Superset-nutrition.com,Minimum clicks,7.0 měs. (210 dnů),Performer,7.50 %,nespočtena,0 EUR,10 EUR,Ano,418,,,,-,-,-,-,880,66,-,Dietary Supplements Sport,-
EFR,609,,Stigasports.com,No conversion,7.3 měs. (219 dnů),Minimum clicks,10.00 %,nespočtena,-1 EUR,-3 EUR,Ano,630,,,,-,-,-,0,90,224 572,6 889,Sport,-
EFR,598,,Fabletics.fr,No conversion,7.9 měs. (237 dnů),Minimum clicks,7.50 %,nespočtena,-1 EUR,-3 EUR,Ano,9 378,,,,-,-,0.42 USD,40,18 100,76 212,14 549,Clothing Footwear Accessories,-
EFR,444,,Ecco.com,No conversion,8.3 měs. (249 dnů),Minimum clicks,3.50 %,nespočtena,-2 EUR,7 EUR,Ano,4 798,,,,-,-,1.08 USD,20,8 100,184 758,-,Footwear,-
